height_cm,head_circum_cm,number_of_siblings,dominant_hand,dominant_foot,dominant_eye
157,55.5,1,Right,Right,Right
165,56,3,Right,Right,Right
165,55,0,Right,Right,Right
163,57,2,Right,Right,Right
173,60.5,1,Right,Left,Left
170,56,1,Right,Right,Right
168,56,2,Right,Right,Left
157,59,3,Right,Right,Right
159,55,1,Right,Right,Right
182,59,3,Right,Right,Left
163,55,2,Right,Right,Right
168,56,2,Right,Right,Right
167,57,1,Left,Left,Left
163,54,0,Right,Right,Right
181,59,2,Right,Right,Left
165,53,1,Right,Right,Left
170,56,3,Right,Right,Right
183,63,0,Right,Right,Right
158,55,1,Right,Left,Left
167,56,2,Right,Right,Right
165,60.96,2,Right,Right,Right
177,56,3,Right,Right,Right
174,59,4,Left,Left,Left
160,55,1,Right,Right,Right
177,55,0,Left,Right,Right
165,57,2,Right,Right,Left
175,60,1,Right,Right,Right
182,60.96,1,Right,Left,Right
180,55.88,1,Right,Right,Right
193,58,1,Right,Right,Right
180,56,1,Right,Right,Right
160,55,2,Right,Right,Right
180,59,1,Right,Right,Right
168,55,3,Right,Left,Left
180,57,2,Right,Right,Right
163,56,1,Right,Right,Left
175,60,1,Right,Right,Right
183,56,2,Right,Right,Right
175,59,2,Right,Right,Right
162,58,0,Right,Right,Left
170,58,1,Right,Right,Left
175.3,57.5,0,Right,Right,Right
175,58,3,Right,Left,Right
180,59,1,Left,Left,Left
173,57,3,Right,Right,Right
167,59,2,Right,Right,Right
180,56,2,Right,Right,Right
167,59,4,Right,Right,Left
162,55,2,Right,Right,Left
175,58,1,Right,Right,Left
175,60,2,Left,Left,Left
155,55,1,Right,Right,Left
175,58,6,Right,Right,Right
178,59,2,Right,Right,Left
184.2,60,0,Right,Right,Right
162.5,55,2,Right,Right,Right
187,58,3,Right,Right,Right
155,54,3,Right,Right,Right
173,55.6,1,Right,Right,Right
160,54.3,1,Right,Right,Right
165,57.2,3,Right,Right,Right
163.85,56.4,2,Right,Right,Left
182,60.2,1,Right,Right,Right
182.88,57.1,1,Right,Right,Right
177.8,58.4,1,Right,Right,Right
195,58,2,Right,Right,Right
170,55.5,1,Right,Right,Right
183,57.5,1,Right,Right,Left
182,57,2,Right,Right,Left
160,55.5,2,Right,Right,Right
180.3,58.5,0,Right,Right,Left
168,55.6,2,Right,Right,Right
160,55.5,1,Right,Right,Right
157,56.5,2,Right,Right,Right
177,58.5,1,Right,Right,Right
183,57,2,Left,Left,Right
170,57,1,Right,Right,Left
172,57,2,Right,Right,Right
172,56,2,Right,Right,Right
177,59,1,Right,Right,Right
165,55,2,Right,Right,Left
165,55.5,1,Right,Right,Left
169,55,1,Right,Right,Right
176,54,1,Right,Right,Right
180.3,58.5,2,Right,Right,Right
182,57,1,Left,Right,Right
160.02,53.34,1,Right,Right,Left
192,55.88,5,Right,Right,Right
180,58,0,Right,Right,Right
166.4,56.5,2,Right,Right,Right
173,57,1,Right,Right,Right
175,58,4,Right,Right,Right
165,59,2,Right,Right,Right
185,59,2,Right,Right,Right
167,56,3,Right,Right,Right
180,57,3,Right,Right,Left
173,58.5,2,Right,Right,Right
184.2,59.2,3,Right,Right,Right
162.3,54,2,Right,Right,Right
172,57,1,Left,Right,Left
171.45,57.5,1,Right,Right,Right
168,61,2,Right,Right,Right
185,58.7,1,Right,Right,Right
160,57.5,2,Right,Right,Left
197,58,2,Right,Right,Right
165,55,1,Right,Right,Right
178,58.7,1,Right,Right,Left
173,59,1,Right,Right,Right
176.5,59.4,1,Right,Right,Left
165,57,1,Right,Right,Left
183,58.7,5,Right,Right,Right
185,61,1,Right,Right,Right
170,58,2,Right,Right,Left
160,55,2,Right,Right,Left
172,57,4,Right,Right,Right
156,56.5,2,Right,Left,Left
168,56,0,Right,Right,Right
163.5,57.5,2,Right,Right,Right
177.5,57.5,2,Right,Right,Right
182.4,58,1,Right,Right,Right
163,57,2,Right,Right,Right
167.5,58,1,Right,Right,Left
171.5,56.5,4,Right,Right,Right
173,56,1,Right,Right,Left
183,56,2,Right,Right,Right
165.1,53.5,1,Right,Right,Right
150,57.2,2,Right,Right,Right
180,59,3,Right,Right,Right
160,57,1,Right,Left,Right
185.5,58.5,1,Right,Right,Right
162.5,54.5,1,Right,Right,Left
170.18,57,2,Left,Left,Left
165.1,59,4,Right,Right,Right
183,59,3,Right,Right,Left
210.8,62,0,Right,Right,Right
184.5,58.1,1,Left,Left,Left
164,54.5,1,Left,Right,Right
188,60,2,Left,Left,Right
167.64,56,1,Right,Right,Right
179.83,59.5,1,Right,Right,Right
159,55,1,Left,Right,Left
167,58,2,Right,Right,Right
179,57,3,Right,Right,Right
182,56,2,Left,Left,Right
185.42,58,1,Right,Right,Left
159,55.2,1,Right,Right,Right
165.1,54.5,1,Right,Right,Left
168.5,61,2,Right,Right,Right
186,58.5,2,Right,Right,Left
166,54.5,3,Right,Right,Right
152,57,1,Right,Right,Left
170,59,1,Left,Right,Right
161,56.5,2,Right,Left,Right
156,55,2,Right,Right,Right
